title,artist,song_id,lyrics
Golden,HUNTR/X,39166708,"I was a ghost, I was alone, hah
어두워진, hah, 앞길속에 (Ah)
Given the throne, I didn't know how to believe
I was the queen that I'm meant to be
I lived two lives, tried to play both sides
But I couldn't find my own place
Called a problem child 'cause I got too wild
But now that's how I'm getting paid, 끝없이 on stage
I'm done hidin', now I'm shinin' like I'm born to be
We dreamin' hard, we came so far, now I believe
We're goin' up, up, up, it's our moment
You know together we're glowing
Gonna be, gonna be golden
Oh, up, up, up with our voices
영원히 깨질 수 없는
Gonna be, gonna be golden
Oh, I'm done hidin' now I'm shinin' like I'm born to be
Oh, our time, no fear, no lies
That's who we're born to be
Waited so long to break these walls down
To wake up and feel like me
Put these patterns all in the past now
And finally live like the girl they all see
No more hiding, I'll be shining like I'm born to be
'Cause we are hunters, voices strong, and I know I believe
We're goin' up, up, up, it's our moment
You know together we're glowing
Gonna be, gonna be golden
Oh, up, up, up, with our voices
영원히 깨질 수 없는
Gonna be, gonna be golden
Oh, I'm done hidin', now I'm shining like I'm born to be
Oh, our time, no fears, no lies
That's who we're born to be
You know we're gonna be, gonna be golden
We're gonna be, gonna be
Born to be, born to be glowin'
밝게 빛나는 우린
You know that it's our time, no fears, no lies
That's who we're born to be"
Soda Pop,KPop Demon Hunters Cast,39166705,"Hey, hey
Hey, hey
Hey
Don't want you, need you
Yeah, I need you to fill me up
마시고 마셔 봐도
성에 차지 않아
Got a feeling that, oh, yeah (Yeah)
You could be everything that
That I need (Need), taste so sweet (Sweet)
Every sip makes me want more, yeah
Lookin like snacks 'cause you got it like that (Woo)
Take a big bite, want another bite, yeah
너의 모든 걸 난 원해, 원해, 원해
너 말곤 모두 뻔해, 뻔해, 뻔해
When you're in my arms, I hold you so tight (So tight)
Can't let go, no, no, not tonight
지금 당장 날 봐 시간 없잖아
넌 내꺼야 이미 알고 있잖아
'Cause I need you to need me
I'm empty, you feed me so refreshing
My little soda pop
You're all I can think of
Every drop I drink up
You're my soda pop
My little soda pop
Cool me down, you're so hot
Pour me up, I won't stop
You're my soda pop
My little soda pop
My little soda pop
Uh, make me wanna flip the top
한 모금에 you hit the spot
Every little drip and drop, fizz and pop, ah
소름 돋아 it's gettin' hot
Yes, I'm sippin' when it's drippin' now
It's done? I need a second round
And pour a lot and don't you stop
'Til my soda pop fizzles out
꿈 속에 그려왔던 너
난 절대 놓칠 수 없어
널 원해 꼭
I waited so long for a taste of soda
So, the wait is over, baby
Come and fill me up
Just can't get enough
Oh
You're all I can think of
Every drop I drink up
You're my soda pop
My little soda pop (Yeah, yeah)
Cool me down, you're so hot
Pour me up, I won't stop (Oh, oh)
You're my soda pop
My little soda pop
Ooh, ooh
Ooh, ooh
You're my soda pop
Gotta drink every drop"
FAMOUS,ALLDAY PROJECT,39156202,"분명 나쁜 아이는 아니어도
또 틀에 가두면 we break it
Bum no bigger than the girl nextdoor
무대 서면 we fake it
No white collar 근데 얜 좀 쳐
When I put mans in their places
모든 시선들은 날 따라와
But we ain't even famous
Don't you try me I want some more
Don't you play me we on the floor
Don't you try me I want some more
(We ain’t even famous)
Don't you try me I want some more
Don't you play me we on the floor
Don't you try me I want some more
(We ain’t even famous)
Money don’t make friends, only got my fam
Pull up with my M’s and I make the money dance
Funny how it goes but this is how it ends
This is how I live by the name Tarzzan
I ain’t even famous
다들 날 보면 오 they say less
And my kit in my whip is the latest
내 가친 조 단위 임마 불러봐
Name is “The Greatest Unfamous” 
느껴져 내 분위기
When I walk 다 돌아봐
I be gettin what I need
Those things I’ve got
Think it’s going to my head
Know you lookin’ when I dance
Take a quick pic for your friend
내 이름 알아둬
분명 나쁜 아이는 아니어도
또 틀에 가두면 we break it
Bum no bigger than the girl nextdoor
무대 서면 we fake it
No white collar 근데 얜 좀 쳐
When I put mans in their places
모든 시선들은 날 따라와
But we ain't even famous
I'm stacking my dollars
난 뿌리부터 달라, 초록 빛깔 color
감출 수 없어, 나잖아 빛이
Not even famous but they wanna be us
같은 공기지만 우린 너무 다른 위치
비교 말어 걔넨 전부 구려
똑같은 걸 해도 I do it better
말해 뭐해 I’m a trendsetter
All day show ‘em 끝없는 체력
내 표적은 네 머리
When I walk 다 돌아봐
I be gettin what I need
Those things I’ve got
Think it’s going to my head
Know you lookin’ when I dance
Take a quick pic for your friend
내 이름 알아둬
분명 나쁜 아이는 아니어도
또 틀에 가두면 we break it
범 무서운지 모르고 덤벼
겁 없이 I just face it
No white collar 근데 얜 좀 쳐
When I put mans in their places
모든 시선들은 날 따라와
But we ain't even famous
Don't you try me I want some more
Don't you play me we on the floor
Don't you try me I want some more
(We ain’t even famous)
Don't you try me I want some more
Don't you play me we on the floor
Don't you try me I want some more
(We ain’t even famous)"
뛰어(JUMP),BLACKPINK,39298775,"I’m not that easy to tame
You should see me under these lights
All my tears turn to ice
That’s the sweetest escape
Every time the feeling kicks in
I might stay through the night
Bet you get it now
Rocked that didn’t I
착각 하지마 누가 누군지 oh
Think you runnin that
Guess we gunnin back
You know I walk yeah I talk it
눈감고 하나 둘 셋
뛰어
뛰어 뛰어
뛰어 뛰어
So come up with me I’ll take you high
That prima donna spice up your life
You know I got that shit that you like
So come up with me run up uh jump 뛰어
Watch me runnin up the place
I’m already stuntin’ and my girls are on the way
Watch me open up the place
Wanna see you bumpin baby
Bouncin to the bass
Are you not entertained
I ain’t gotta explain it
I’m with all of my sisters
Got em goin insane, yeah
You know we on a mission
All gas no brakes, yeah
Breaking out of the system
Breaking out of this cage, yeah
Bet you get it now
Ate that didn’t I
순간 잊지마 누가 누군지 oh
Think you runnin that
Guess we gunnin back
You know I walk yeah I talk it
눈감고 하나 둘 셋
뛰어
뛰어 뛰어
뛰어 뛰어
So come up with me I’ll take you high
That prima donna spice up your life
You know I got that shit that you like
So come up with me run up uh jump 뛰어
Watch me runnin up the place
I’m already stuntin’ and my girls are on the way
Watch me open up the place
Wanna see you bumpin baby
Bouncin to the bass
Blackpink in your area"
Dirty Work,aespa,39121279,"World domination
I don’t gotta say it
전엔 없던
돌연변이 같아
저주야 난
다수로 볼 땐
Set ‘em on fire
스스로 밝혀
And I don’t really care if you
like me, like me
I don’t really wanna play
nicely, nicely
오답을 고른 게
정답인 선택
Open your eyes,
come and
Bite me
Sharp teeth,
bite first
Real bad business,
that’s Dirty Work
Real bad business,
that’s Dirty Work
Real bad business,
that’s Dirty Work
Bold eyes,
cold stare
Real bad business,
that’s Dirty Work
Real bad business,
that’s Dirty Work
Real bad business,
that’s Dirty Work
Work, work, work, work
work, work, work
Real bad business,
that’s Dirty Work
Real bad business,
that’s Dirty Work
I’m not an it girl
more like a hit girl
Mafia ties going
back to the old world
Fear in their eyes
I’m always watching
Call me the reaper
I’m knock knock knocking
It’s me, it’s me,
a little baddie
Just ‘cause
I’m pretty doesn’t mean
I don’t do hard things
Hard things,
make me feel like a thunder
Let me think 뭐를 하든
I will like it, like it
Sharp eyes,
fierce look
Real bad business,
that’s Dirty Work
Real bad business,
that’s Dirty Work
Real bad business,
that’s Dirty Work
Hold tight,
get tough
Real bad business,
that’s Dirty Work
Real bad business,
that’s Dirty Work
Real bad business,
that’s Dirty Work
We don’t see you as a threat
얄팍한 Rule 따윈
한 겹의 Glass
내 맘대로 해
깨트려 내
쉽게 난 두 발로
그 위를 Pass Yeah
Kick up the dust,
let ’em talk about it
Crawl out the mud,
let ’em know about it
번뇌를 깨우는 음률 속에
두 눈을 봐
Well you already found it
Drop it
low low low low low low
Work it out work it out
Drop it
low low low low low low
Work it out work it out
Drop it
low low low low low low
Work it out work it out
Drop it
low low low low low low
Work it out work it out
(Work It)
Sharp teeth,
bite first
Real bad business,
that’s Dirty Work
Real bad business,
that’s Dirty Work
Real bad business,
that’s Dirty Work
Bold eyes,
cold stare
Real bad business,
that’s Dirty Work
Real bad business,
that’s Dirty Work
Real bad business,
that’s Dirty Work
Work, work, work, work
work, work, work
Real bad business,
that’s Dirty Work
Real bad business,
that’s Dirty Work
Work, work, work, work
work, work, work
Real bad business,
that’s Dirty Work
Real bad business,
that’s Dirty Work"
Drowning,WOODZ,36397952,"미치도록 사랑했던
지겹도록 다투었던
네가 먼저 떠나고
여긴 온종일 비가 왔어
금세 턱 끝까지 차올랐고
숨이 막혀와
내 맘이란 추는 나를 더
깊게 더 깊게 붙잡아
Oh I’m drowning
It’s raining all day
I can't breathe
Oh oh I’m drowning
Oh I’m drowning
Oh I’m drowning
Oh I’m drowning
You’re taking my life from me
다 알면서 눈 감은 넌 왜
다정한 말로 나를 죽여놓고
날 누이고 너는 떠나갔지
You cut me bad,
I’m still waiting for you
너 떠나고 이곳은 잠겨 눈물로
날 너무 사랑했던 넌
어디로 흩어졌는지
내 맘이란 추는 나를 더
깊게 더 깊게 붙잡아
Oh I’m drowning
It’s raining all day
I can't breathe
Oh oh I’m drowning
Oh I’m drowning
Oh I’m drowning
Oh I’m drowning
You’re taking my life from me
더 깊이 빠져 죽어도 되니까
다시 한번만 돌아와 줄래
더 깊이 빠져 죽어도 되니까
다시 한번만
Oh I’m drowning
It’s raining all day
I can't breathe
Oh oh I’m drowning
Oh I’m drowning
Oh I’m drowning
Oh I’m drowning
You’re taking my life from me"
시작의 아이,마크툽 (MAKTUB),38388023,"존재하는 이유
그런 건 아무래도 좋으니
그리 즐겁지도 괴롭지도 않은
바람아 불어라
달을 찾는 이유
예쁜 건 언제 봐도 좋으니
나는 세계의 시계를 부수고
너에게 닿는다
너와 함께 바라본
붕괴하는 세상의 반짝임을
그 찰나를 별의 시작이라고 부를 거야
시간의 중력으로는 우리의 모든 이야기를
따라잡을 수 없을 테니까
시작의 푸름에
모든 이름에
네가 새겨져있을 뿐
낮과 밤을 지나 새벽 속에도
잠들지 않는 아이 아이야
열 번의 기적처럼
널 가득 안은 채
그대로 멈춰라
내 하루에 번져가는 시작의 너
달이 예쁘다고
네게 말해줬던 그 밤은
너무 뜨겁지도 아쉽지도 않은
고요함이었지
너를 찾은 이유
어쩌면 찾지 않았을지도
사실 언제 만났어도 지금처럼 너를 좋아했을 거야
너와 함께 바라본
마주하는 눈빛의 반짝임을
그 찰나를 시작의 별이라고 부를 거야
처음 느낌 그대로
우리의 모든 이야기를
완성해낼 수 있을 테니까
시작의 푸름에
모든 이름에
네가 새겨져있을 뿐
낮과 밤을 지나 새벽 속에도
잠들지 않는 아이 아이야
백야의 하늘 아래
널 가득 안은 채
그대로 멈춰라 내 하루에 번져가는 시작의 너
숨 쉴 수 있는 순간에 한 번 더 너를 안고
그 품이 그리워 미래에 더 아파할 거야
언젠가 시간보다 늦었던 마음이 밉지 않도록
천 개의 바람으로 날아가 흩어지기 전에
내 모든 이름에
꿈의 흐름에
네가 새겨져 있는 걸
숨과 바람 사이 영원속에도
잠들지 않는 아이 아이야
만개의 계절 속에
태어나는 시작의 푸름으로 부르는 노래
널 사랑하는 나의 마음이야
숨 쉴 수 있는 순간에 한 번 더 너를 안고
그 품이 그리워 더 아파할 거야"
너에게 닿기를,10CM,38626852,"따사로운 햇살 속에서
종소리가 울려 퍼지네
뺨을 매만지는 바람
한숨만은 깊어져만 가고
저 멀리서 핑 도는 눈물
이름을 붙여준 내일
포개어지는 미래 빛 라인
천진난만한 이런 기분도
신이 나서 날아갈 정도로 웃었던 날도
사랑스럽고 소중하게 키울 수 있도록
어렵고 힘들었던 시간을 넘어서
아주 많은 처음을 주었잖아
이어져 가서는 닿기를
천진난만한 이런 기분도
신이 나서 날아갈 정도로 웃었던 날도
사랑스럽고 소중하게 키울 수 있도록
어렵고 힘들었던 시간을 넘어서
아주 많은 처음을 주었잖아
이어져 가서는
천진난만한 이런 기분도
신이 나서 날아갈 정도로 웃었던 날도
사랑스럽고 소중하게 키울 수 있도록
어렵고 힘들었던 시간을 넘어서
아주 많은 처음을 주었잖아
이어져 가서는
이어져 가서는 닿기를"
Your Idol,KPop Demon Hunters Cast,39166714,"Pray for me now
Pray for me now (Dies irae)
Pray for me now (Illa)
Pray for me now (Vos solve in)
Pray for me now (Favilla)
Pray for me now (Maledictus)
Pray for me now (Erus)
Pray for me now (In flamas)
Pray for me now (Eternum)
I'll be your idol
Keeping you in check (Uh), keeping you obsessed (Uh)
Play me on repeat, 끝없이 in your head
Anytime it hurts (Uh), play another verse (Uh)
I can be your sanctuary
Know I'm the only one right now (Now)
I will love you more when it all burns down
More than power, more than gold (Yeah)
Yeah, you gave me your heart, now I'm here for your soul
I'm thе only one who'll love your sins
Feel the way my voicе gets underneath your skin
Listen 'cause I'm preachin' to the choir
Can I get the mic a little higher?
Gimme your desire
I can be the star you rely on (You rely on)
내 황홀에 취해, you can't look away (Hey)
Don't you know I'm here to save you
Now we runnin' wild
Yeah, I'm all you need, I'ma be your idol
Uh
Uh
Uh, 빛이나는 fame, 계속 외쳐, I'm your idol
Thank you for the pain 'cause it got me going viral
Uh, yeah, 낫지 않는 fever, makin' you a believer
나를 위해 넌 존재하는 아이들
Don't let it show, keep it all inside
The pain and the shame, keep it outta sight
Your obsession feeds our connection
이 순간 give me all your attention
You know I'm the only one who'll love your sins
Feel the way my voice gets underneath your skin
Listen 'cause I'm preachin' to the choir
Can I get the mic a little higher?
Gimme your desire
I can be the star you rely on (You rely on)
내 황홀에 취해, you can't look away (Yeah)
Don't you know I'm here to save you
Now we runnin' wild
Yeah, I'm all you need, I'ma be your idol
Be your idol
Living in your mind now
Too late 'cause you're mine now
I will make you free
When you're all part of me
(Listen 'cause I'm) Preaching to the choir
(Now) Can I get the mic a little higher?
Gimme your desire
Watch me set your world on fire
내 황홀에 취해, you can't look away (Hey)
No one is coming to save you
Now we runnin' wild
You're down on your knees, I'ma be your idol"
모르시나요(PROD.로코베리),조째즈,38429074,"찬바람 불어오니
그대 생각에 눈물짓네
인사 없이 떠나시던 날
그리움만 남겨놓고
그리워 글썽이는 내 가슴속에
오늘 그대 수천 번은 다녀가시네
나는 목놓아 그대를 소리쳐 불러도
그댄 아무런 대답조차 하지 않네요..
기다리는 나를 왜 모르시나요
어느 계절마다 난 기다리는데
그저 소리 없이 울수록 서러워 서러워
돌아와요 나의 그대여
모르시나요
눈물은 한없이 쏟아져 내려도
슬픈 나의 두 눈은 끝내 마를 날 없네
나의 이별은 이토록 왜 가슴 시린지
왜 나 혼자만 이렇게 또 가슴 아픈지
기다리는 나를 왜 모르시나요
어느 계절마다 난 기다리는데
그저 소리 없이 울수록 서러워 서러워
돌아와요 나의 그대여
모르시나요..
찬바람 불어오니
그대 생각에 눈물짓네
인사 없이 떠나시던 날
그리움만 두고가네"
